CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single
719999508,1,37.0,3,0.0,1.0,0.0,24,3,1,2,11894.0,816,11078.0,1.561,2438,45,0.607,0.069,0,1,0,1,0
716713533,1,53.0,3,2.0,2.0,0.0,44,5,2,2,19063.0,1236,17827.0,0.542,3393,58,0.871,0.065,0,1,0,0,1
711800658,0,42.0,3,0.0,0.0,0.0,36,2,3,3,2145.0,0,2145.0,0.577,2465,42,0.355,0.0,1,0,0,0,1
719384433,0,44.0,3,0.0,0.0,0.0,28,5,2,3,1877.0,1203,674.0,0.654,2581,57,0.781,0.641,1,0,1,0,0
718894233,1,53.0,2,1.0,1.0,0.0,36,6,2,4,2956.0,1391,1565.0,0.698,2116,63,0.575,0.471,1,0,0,1,0
820596183,1,58.0,2,1.0,3.0,0.0,53,2,3,0,24407.0,2395,22012.0,1.071,2311,48,0.714,0.098,0,1,0,1,0
778832883,1,47.0,3,2.0,0.0,0.0,28,1,3,1,8257.0,961,7296.0,0.741,13769,104,0.857,0.116,1,0,0,1,0
716653758,1,55.0,0,0.0,1.0,0.0,36,3,3,3,1467.0,0,1467.0,0.739,4226,74,0.85,0.0,0,1,0,0,1
716643033,0,41.0,2,1.0,0.0,0.0,31,3,3,3,2580.0,2137,443.0,1.056,2981,40,0.481,0.828,1,0,0,1,0
779320008,0,43.0,3,1.0,2.0,0.0,25,3,3,3,2900.0,2517,383.0,0.719,2180,31,0.409,0.868,0,1,0,1,0
709422183,1,58.0,1,1.0,0.0,0.0,46,4,2,2,2203.0,1394,809.0,0.57,1788,45,0.364,0.633,1,0,0,1,0
789296133,1,35.0,3,2.0,0.0,0.0,24,1,1,3,12287.0,770,11517.0,0.612,4601,65,0.757,0.063,1,0,0,0,1
779261433,1,54.0,2,1.0,0.0,0.0,36,3,1,2,2043.0,1597,446.0,0.814,3553,61,0.694,0.782,1,0,0,0,1
719732433,1,54.0,2,1.0,1.0,0.0,36,5,3,1,12815.0,1017,11798.0,0.532,3771,78,0.66,0.079,0,1,0,0,1
709253433,1,50.0,2,0.0,1.0,0.0,41,2,1,2,10946.0,1912,9034.0,0.362,2448,58,0.45,0.175,1,0,0,1,0
712351908,1,45.0,3,0.0,2.0,0.0,34,1,2,3,26438.0,1655,24783.0,0.92,8029,81,0.723,0.063,0,1,0,0,1
708438033,1,36.0,2,0.0,0.0,0.0,27,3,3,4,3049.0,2198,851.0,1.546,2617,48,1.0,0.721,1,0,0,1,0
713003358,0,,3,1.0,2.0,0.0,30,2,2,2,29338.0,159,29179.0,1.017,4983,40,0.379,0.005,0,1,0,0,1
780034083,1,48.0,3,0.0,1.0,0.0,38,3,2,2,2151.0,0,2151.0,0.763,4604,86,0.72,0.0,1,0,0,1,0
709029408,1,41.0,4,1.0,1.0,0.0,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,1,0,1,0
772468983,1,36.0,1,2.0,2.0,0.0,26,3,4,2,21927.0,1291,20636.0,0.864,1946,37,0.542,0.059,0,1,0,1,0
712120608,0,35.0,3,1.0,2.0,0.0,27,3,2,3,3575.0,1884,1691.0,0.384,861,15,1.5,0.527,0,1,0,1,0
720132258,1,49.0,3,2.0,3.0,1.0,36,6,1,5,34516.0,1323,33193.0,0.934,3422,78,0.529,0.038,0,1,0,0,1
716608608,0,41.0,2,0.0,2.0,0.0,33,5,3,3,8004.0,1452,6552.0,0.929,1084,32,0.524,0.181,0,1,0,1,0
708817608,1,41.0,3,0.0,0.0,0.0,24,3,1,1,3427.0,1419,2008.0,0.685,4218,74,0.805,0.414,1,0,0,1,0
709678608,1,49.0,4,0.0,2.0,0.0,36,2,3,3,24256.0,1076,23180.0,0.568,4269,69,0.643,0.044,0,1,0,1,0
779805408,1,42.0,3,0.0,0.0,1.0,31,1,1,1,14630.0,0,14630.0,0.752,8217,99,0.65,0.0,0,1,0,1,0
